"Sample_ID","Study_ID","Platform_Type","Timepoint","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria","Shannon_H"
"SHIME_S6","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.510183494649827,0.476260801376775,0.0457989218086004,0.0263446088880301,0.938916239790168
"SHIME_S7","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.457392543777823,0.453985527921468,0.0667681571654976,0.0134032496251166,0.954445415181449
"SHIME_S8","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.434396882615983,0.453324590572156,0.0685028117429465,0.028894406510517,1.00711490041231
"SHIME_S9","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.433697930388153,0.433576128999703,0.0393409410212189,0.0158724768273532,0.91412677641068
"SHIME_S10","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.468834939114749,0.3802272966085,0.058979903999716,0.0129814410489053,0.945021724348784
"SHIME_S11","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.436765446907375,0.47307249430567,0.0561453810054809,0.0415813577384688,1.00977218424217
"SHIME_S12","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.350031056555454,0.500416187131777,0.0441389633901417,0.0297225785744376,0.955703724566963
"SHIME_S13","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.377114094402641,0.490182707523927,0.0452602919563651,0.0433642849558964,0.994159773745161
"SHIME_S14","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.47129443655489,0.454327788706869,0.057495433986187,0.0318332300544716,0.987226366357535
"SHIME_S15","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.470333817319479,0.464294799258932,0.0540193100273609,0.0403577860374935,0.998655869350201
"SHIME_S16","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.445432259130757,0.464485203437507,0.0431928359623998,0.0432747512822971,0.987973906570965
"SHIME_S17","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.393299357844517,0.400165701229125,0.0528561569564044,0.0256360713206232,0.990166635844638
"SHIME_S18","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.416958232878242,0.442679914459586,0.0245487443637103,0.0208725745673291,0.891619943547845
"SHIME_S19","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.446716704021674,0.473455970818177,0.0505803103465587,0.0240714139118791,0.954405829615754
"SHIME_S20","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.430490701205563,0.499473055666313,0.0449445382878184,0.0404049253440462,0.979086283411673
